intPIPCategoryID,MCNo,AdditionCount,RecipeColorCategory,vcColourNo,RFT
1,N-008B,0,Light,TNB23-2970F,1
1,N-008B,6,Light,TNB23-2970F,0
3,N-008D,1,Light,TNB19-3195N,0
1,N-006A,0,Dark,TNB23-0651CM,1
1,N-006A,1,Dark,TNB23-0651CM,0
1,N-006A,0,Dark,TNB23-0651CM,1
1,N-002A,0,Light,TNB19-3423BA,1
6,N-008D,0,Dark,TPL18-1041Z,1
6,N-008D,0,Dark,TPL18-1041Z,1
3,N-008G,0,Dark,TNB18-2841A,1
3,N-008G,0,Dark,TNB18-2841A,1
3,N-008G,1,Dark,TNB18-2841A,0
3,N-008H,1,Dark,N7982A,0
1,N-008F,0,Dark,TNB23-1787D,1
1,N-006A,2,Light,TNB22-1379B,0
3,N-008B,3,Light,TNB23-2774A,0
3,N-008C,2,Dark,TNB23-2200F,0
1,N-006A,4,Light,TNB23-2968G,0
3,N-008K,0,Dark,TNB23-0399C,1
1,N-008D,0,Dark,TNB23-1788E,1
3,N-002A,0,Dark,TNB19-3251BA,1
3,N-002A,1,Dark,TNB19-3251BA,0
2,N-002A,0,Dark,TNB19-3251BA,1
1,N-008D,0,Dark,TNB23-1788A,1
3,N-008B,0,Light,TNB20-1444BA,1
3,N-008C,0,Dark,TNB23-2201B,1
3,N-008L,2,Dark,TNC23-3114M,0
1,N-008H,2,Dark,TNC23-2972C,0
1,N-002B,0,Dark,TNB23-3040E,1
1,N-006A,1,Dark,TNC23-3114C,0
3,N-006A,9,Dark,TNC23-3114C,0
1,N-008A,0,Dark,TNB23-2243F,1
1,N-008A,0,Dark,TNB23-2243F,1
3,N-008B,0,Dark,TNB21-1146A,1
2,N-008K,0,Dark,TNB17-3479E,1
2,N-008K,0,Dark,TNB17-3479E,1
2,N-008K,2,Dark,TNB17-3479E,0
3,N-006A,3,Light,TNB23-0422I,0
3,N-008E,1,Light,TNB23-3215A,0
3,N-008C,2,Dark,TNB23-3216A,0
4,N-008L,2,Dark,TNB19-1832T,0
2,N-008H,0,Dark,TNB22-0846A,1
3,N-008B,0,Dark,TNB23-2679B,1
3,N-008B,0,Dark,TNB23-2679B,1
3,N-008K,2,Dark,TNB21-1000Z,0
3,N-006A,0,Dark,TNB23-0500YR,1
2,N-008G,1,Dark,TNB22-0727AM,0
3,N-008D,3,Medium,TNB23-0424F,0
3,N-008E,2,Light,TNB23-3217A,0
1,N-008A,1,Dark,TNB23-2243D,0
3,N-002A,2,Light,TNB23-2310H,0
3,N-008B,3,Dark,TNB21-0839AI,0
1,N-006A,2,Dark,TNB23-1788A,0
1,N-008H,1,Dark,N7983B,0
1,N-008D,4,Dark,TNB23-2243D,0
3,N-008E,1,Light,TNB23-3287C,0
1,N-002B,0,Light,TNB23-2894C,1
1,N-008C,2,Light,TNB23-1830B,0
3,N-002A,1,Light,TNC23-3115B,0
2,N-008G,0,Dark,TNB22-0845A,1
3,N-008L,4,Dark,TNB23-0534G,0
3,N-006A,2,Dark,TNB23-0536B,0
1,N-008K,1,Dark,T06000,0
1,N-008L,0,Light,TNB19-3536BR,1
3,N-006A,4,Light,TNB23-2544G,0
3,N-006A,2,Light,TNB23-2544G,0
1,N-008F,1,Dark,TNB23-1787D,0
1,N-008F,0,Dark,TNB23-1787D,1
1,N-008D,6,Light,TNB23-2968G,0
3,N-002A,1,Light,TNB22-1715C,0
1,N-008C,2,Dark,TNC23-2242A,0
3,N-006A,2,Light,TNB23-2680A,0
1,N-008L,1,Dark,TNB22-2192F,0
5,N-008K,0,Dark,TNB23-0600Z,1
3,N-002B,0,Light,TNB22-1715C,1
1,N-008B,0,Dark,TNB23-1788E,1
1,N-008B,0,Dark,TNB23-1788E,1
3,N-008A,0,Medium,TNB23-2191G,1
2,N-008A,5,Medium,TNB23-2191G,0
2,N-008L,2,Light,TNB22-0785A,0
1,N-002A,3,Dark,TNB23-3063C,0
3,N-008L,1,Light,TNB23-2549B,0
1,N-008B,0,Dark,TNB23-1788A,1
1,N-008E,1,Medium,TNB23-3141A,0
1,N-002A,0,Dark,TNB23-3230B,1
1,N-002A,0,Dark,TNB23-3230B,1
1,N-002A,0,Dark,TNB23-3230B,1
1,N-002A,0,Dark,TNB23-3230B,1
3,N-008E,1,Dark,TNB21-0839AI,0
